pid,labels
10527,"76,139,201"
29177,"88,54,39"
25593,"47,23,39"
9977,"4,19,70"
22699,"28,113,3"
26338,"10,45,23"
21847,"3,21,28"
2557,"6,5,4"
13975,"76,164,54"
11562,"23,43,24"
22799,"220,10,45"
61,"171,169,11"
23512,"43,23,10"
4640,"49,23,24"
15839,"89,26,304"
19893,"23,43,10"
16820,"3,15,47"
14656,"28,200,101"
20692,"220,421,100"
18618,"0,288,271"
19050,"31,258,420"
21138,"169,131,40"
2752,"89,26,5"
283,"15,21,200"
18657,"160,201,32"
974,"26,79,38"
821,"23,10,24"
23910,"23,24,64"
8991,"131,226,76"
9871,"10,43,23"
14822,"21,11,11"
6339,"131,226,76"
22453,"8,206,235"
20565,"131,76,135"
28828,"10,11,24"
10896,"10,23,40"
14491,"220,10,40"
21,"40,23,70"
13736,"3,4,85"
25810,"130,128,131"
23112,"128,130,131"
9103,"226,76,131"
17357,"3,4,5"
25378,"28,5,19"
29328,"10,43,38"
28130,"169,277,40"
7522,"10,11,23"
10390,"43,64,10"
23427,"31,258,21"
13811,"10,54,44"
16614,"23,10,44"
23990,"220,10,405"
5783,"206,8,369"
15256,"10,44,23"
27673,"34,18,187"
29443,"4,28,74"
23260,"10,38,37"
10027,"3,17,66"
7647,"21,200,168"
22746,"233,220,10"
14217,"152,140,76"
27788,"8,206,5"
22805,"100,22,23"
16454,"60,3,10"
23334,"34,21,18"
15814,"49,23,38"
27704,"3,21,39"
1865,"7,4,28"
11320,"10,11,12"
3110,"3,200,28"
3329,"10,43,23"
19791,"76,128,1"
4462,"26,38,118"
16998,"23,49,10"
5321,"74,38,23"
13684,"8,9,206"
20047,"10,23,54"
28310,"40,1,76"
11631,"10,44,23"
6709,"169,199,170"
23259,"226,131,131"
15685,"64,79,23"
984,"64,23,38"
25685,"137,10,23"
7017,"23,10,44"
1955,"169,40,281"
3617,"223,288,277"
27018,"31,96,12"
22159,"3,21,56"
20648,"26,38,23"
24479,"76,31,135"
18462,"76,68,40"
15394,"288,290,128"
7740,"0,304,288"
13909,"76,40,201"
28860,"518,30,28"
24504,"220,10,24"
18633,"43,23,24"
3899,"89,26,38"
289,"23,49,74"
21656,"10,11,44"
21751,"0,23,288"
28446,"169,251,0"
11568,"160,151,151"
12992,"171,169,220"
15890,"74,38,36"
20128,"38,74,118"
5174,"15,3,16"
18951,"15,3,16"
38,"4,2,19"
20009,"40,128,76"
23148,"12,10,44"
2733,"131,226,76"
27476,"4,3,5"
13448,"21,200,38"
22460,"29,23,169"
14885,"40,28,32"
7300,"31,32,204"
13451,"21,33,34"
11458,"411,499,441"
6097,"76,160,128"
9076,"21,18,13"
5601,"9,8,270"
1914,"220,10,45"
1037,"220,10,45"
18239,"29,111,301"
3624,"23,38,3"
17286,"23,44,19"
22446,"139,248,76"
22871,"34,18,16"
4219,"76,38,24"
2946,"21,51,34"
674,"12,10,43"
25773,"23,24,40"
21404,"3,200,10"
15577,"10,44,45"
1118,"38,40,23"
22770,"169,442,315"
10825,"3,111,28"
10761,"0,271,223"
10755,"21,3,15"
22013,"220,10,23"
23430,"74,23,40"
2533,"30,3,28"
14397,"66,30,200"
20663,"169,39,181"
3426,"169,274,276"
14295,"135,38,76"
8573,"64,38,23"
24552,"76,40,131"
23099,"179,0,310"
20637,"30,111,56"
26797,"10,23,44"
25346,"287,200,3"
10199,"11,10,23"
21181,"220,10,23"
18360,"258,31,40"
15542,"193,226,76"
12546,"23,38,208"
15754,"220,10,23"
185,"15,3,5"
21208,"23,10,67"
12177,"31,258,420"
476,"181,169,169"
26060,"21,33,200"
22383,"38,26,23"
25881,"10,220,21"
19800,"39,74,38"
12892,"42,40,21"
827,"271,234,514"
14033,"169,40,37"
24359,"38,26,23"
8299,"21,30,34"
18594,"128,40,76"
2902,"10,43,24"
19300,"169,12,303"
3714,"23,74,24"
10716,"7,4,3"
22019,"28,0,111"
16203,"18,17,34"
17893,"220,10,24"
17676,"249,512,369"
14844,"48,81,518"
22358,"23,38,395"
19745,"38,103,89"
23567,"10,11,12"
26822,"31,28,24"
7873,"23,43,10"
4255,"23,49,10"
23947,"462,213,255"
20,"3,200,15"
19520,"237,270,273"
11922,"89,91,350"
14036,"43,23,68"
6284,"43,23,44"
9004,"3,21,200"
10319,"51,116,200"
14955,"279,0,25"
18953,"18,34,21"
11254,"26,23,89"
11643,"160,76,128"
16945,"34,200,21"
18718,"137,38,81"
3945,"38,74,3"
17091,"265,207,271"
12323,"7,19,4"
4320,"19,70,4"
22051,"89,350,514"
24532,"8,270,308"
19979,"10,11,44"
22582,"8,9,206"
27971,"169,171,135"
6505,"10,11,23"
26141,"8,9,0"
2846,"135,76,31"
13926,"169,169,319"
10673,"21,3,200"
19657,"135,169,199"
26778,"220,10,45"
12528,"411,428,303"
14641,"32,31,318"
4465,"49,180,66"
10071,"10,54,23"
10398,"200,33,21"
29092,"11,10,44"
26276,"3,21,200"
22849,"0,208,223"
26515,"184,368,131"
28719,"28,3,21"
19055,"3,200,52"
9337,"76,131,406"
9048,"42,76,40"
25555,"231,26,23"
23600,"26,277,89"
21137,"17,18,21"
3894,"3,28,200"
15461,"19,4,433"
19646,"8,206,23"
28414,"111,224,3"
15637,"10,43,40"
14504,"26,89,38"
25994,"11,10,44"
4089,"220,10,23"
6156,"169,274,139"
16270,"169,38,27"
3073,"18,17,3"
7579,"89,26,0"
3046,"10,44,54"
2857,"43,12,23"
24822,"30,518,1"
19250,"28,21,40"
25415,"141,95,74"
20737,"23,91,74"
1233,"0,213,271"
28381,"21,51,5"
14177,"23,44,43"
2899,"8,9,239"
22091,"135,38,23"
15261,"160,76,152"
6202,"10,44,23"
5880,"10,44,23"
23308,"15,16,201"
5808,"11,10,23"
22685,"226,131,76"
16841,"74,19,38"
5933,"40,131,76"
6589,"40,76,405"
16081,"76,40,232"
15826,"201,160,40"
23452,"131,160,76"
23066,"169,296,343"
11084,"40,1,76"
25513,"34,187,200"
18590,"141,38,74"
720,"169,171,276"
28780,"44,64,10"
19826,"0,271,213"
21873,"26,89,38"
24702,"17,21,51"
10486,"411,300,411"
13673,"206,8,28"
1120,"51,52,28"
12035,"23,25,38"
22042,"74,38,3"
7889,"10,38,23"
19980,"31,38,96"
9520,"17,200,12"
19912,"0,211,279"
13396,"10,23,54"
13499,"76,23,38"
27207,"214,380,304"
9285,"74,38,23"
15681,"160,40,76"
25114,"43,64,10"
9332,"44,10,23"
22500,"23,44,10"
22237,"11,10,44"
19796,"135,76,288"
2705,"64,79,23"
23708,"169,199,275"
12713,"220,10,23"
11412,"515,10,11"
20967,"23,38,44"
3350,"59,21,10"
15697,"74,38,23"
11797,"26,89,0"
7000,"10,23,41"
23096,"23,28,276"
11444,"34,18,200"
8016,"23,40,181"
6173,"8,235,270"
6267,"43,23,10"
13633,"169,1,40"
5066,"10,44,23"
23697,"169,311,274"
13867,"318,233,50"
18565,"23,43,38"
8503,"10,24,43"
5155,"26,89,23"
25995,"169,169,469"
16196,"3,85,70"
7024,"0,211,279"
2428,"10,43,23"
8463,"76,40,130"
7531,"23,38,4"
28979,"76,6,131"
2541,"169,2,255"
8717,"0,270,211"
25775,"7,4,174"
11623,"18,68,17"
27454,"38,23,91"
5012,"160,201,76"
28264,"131,76,396"
8091,"10,23,44"
10555,"0,8,214"
7719,"38,23,24"
15274,"169,23,28"
25625,"226,131,76"
19941,"220,10,11"
6072,"11,10,43"
13872,"169,275,278"
24063,"169,199,40"
27159,"10,44,23"
7611,"38,74,135"
22415,"229,249,283"
19564,"199,288,277"
12946,"128,130,131"
421,"311,299,40"
7997,"10,38,64"
27391,"23,10,43"
21804,"28,3,100"
8090,"27,0,304"
4171,"75,135,38"
29365,"40,76,201"
10411,"32,31,2"
5348,"64,23,38"
22106,"411,499,40"
10201,"74,94,38"
5134,"0,249,280"
6368,"30,21,11"
25081,"22,21,20"
18917,"29,31,218"
16694,"200,15,5"
17583,"169,318,39"
27262,"149,76,40"
10381,"23,10,44"
3623,"27,0,26"
21719,"139,76,131"
5124,"169,199,170"
27730,"200,28,19"
25304,"4,19,28"
26518,"169,199,170"
794,"10,23,44"
11251,"220,10,21"
2699,"519,105,318"
11718,"17,18,66"
18940,"10,23,42"
24597,"43,23,10"
19896,"411,499,307"
23417,"4,7,19"
10611,"31,74,296"
28809,"76,40,200"
15291,"10,44,40"
4626,"23,44,10"
2838,"220,10,54"
26981,"26,289,40"
19517,"135,31,76"
6322,"440,40,128"
6555,"288,40,28"
29232,"3,15,4"
24556,"3,15,4"
16530,"150,28,200"
29048,"326,3,11"
15530,"211,254,0"
17013,"10,43,23"
12264,"370,260,8"
28120,"258,31,96"
23537,"220,10,11"
19938,"23,38,95"
12111,"327,205,8"
2340,"10,24,44"
17622,"10,43,44"
20222,"8,9,1"
28131,"23,10,43"
3904,"3,30,21"
26568,"103,76,1"
24286,"21,33,8"
25359,"10,0,24"
914,"21,18,12"
8264,"74,38,10"
21694,"23,10,43"
10988,"23,10,43"
19677,"200,15,3"
27937,"270,280,8"
24083,"26,89,50"
19890,"169,6,40"
119,"89,23,26"
25921,"21,169,200"
14580,"30,3,8"
21431,"76,405,468"
5330,"169,199,340"
7956,"76,131,40"
8298,"47,88,24"
29353,"89,23,26"
24233,"39,38,23"
1017,"116,10,51"
5562,"128,40,42"
8125,"3,21,66"
22502,"169,419,199"
19924,"318,50,401"
25393,"38,23,115"
20461,"74,95,38"
17734,"26,90,89"
25082,"10,43,44"
23337,"28,113,3"
6939,"169,1,40"
9762,"10,44,23"
242,"499,306,411"
15741,"21,111,200"
19412,"160,201,76"
8686,"186,76,70"
9801,"40,111,39"
9655,"21,28,40"
16660,"169,29,109"
6334,"211,223,0"
13672,"54,23,10"
2788,"131,226,76"
22404,"135,38,51"
27002,"184,131,76"
7122,"26,89,1"
21430,"3,4,70"
26376,"10,43,24"
14996,"0,271,223"
14309,"23,67,42"
23930,"10,64,11"
3866,"10,54,23"
1672,"38,23,26"
8580,"21,28,33"
1734,"170,171,39"
27369,"21,28,28"
13613,"89,26,38"
22652,"23,38,82"
1912,"0,223,271"
12523,"10,44,23"
829,"10,43,23"
27614,"34,200,21"
13670,"180,200,30"
27469,"64,10,23"
10178,"0,211,279"
28212,"23,38,49"
16224,"38,74,23"
10989,"139,141,118"
13319,"23,38,21"
8124,"318,505,519"
10105,"76,201,149"
17680,"44,90,10"
6235,"105,24,8"
11807,"417,169,169"
21920,"34,34,187"
588,"23,49,43"
26731,"11,10,12"
23263,"17,18,51"
19510,"28,10,4"
19703,"18,10,12"
18787,"0,219,29"
5990,"130,139,128"
24815,"10,11,23"
27467,"271,270,247"
11443,"28,13,3"
7789,"23,54,10"
11785,"21,15,200"
18523,"10,23,68"
13553,"21,34,51"
300,"26,179,8"
2801,"3,21,15"
7352,"258,31,23"
1127,"40,28,21"
22636,"111,114,233"
21777,"8,9,308"
6253,"33,0,21"
9772,"169,1,278"
2313,"10,11,12"
28837,"169,39,316"
12430,"135,74,318"
21734,"200,66,31"
13277,"135,38,74"
10721,"23,89,40"
22754,"3,8,28"
19233,"8,9,211"
10774,"10,23,44"
11611,"169,199,81"
14931,"10,43,44"
11420,"23,43,44"
9354,"17,18,10"
13981,"23,24,10"
29173,"169,171,170"
5116,"3,28,85"
21829,"34,1,18"
24622,"218,218,268"
7791,"41,21,136"
9997,"3,15,11"
6604,"79,44,10"
24921,"137,38,23"
27708,"34,3,200"
25292,"220,10,11"
8231,"169,1,84"
3300,"184,185,131"
10695,"21,191,20"
2611,"226,131,76"
23974,"23,43,24"
23690,"279,211,0"
25124,"241,226,397"
20732,"44,79,10"
17343,"6,5,28"
15646,"14,13,10"
23118,"111,21,30"
5493,"27,271,213"
18205,"10,44,23"
9030,"15,16,200"
6892,"120,333,11"
6356,"169,200,3"
9080,"38,91,23"
13578,"38,23,74"
16208,"135,54,83"
2015,"11,10,109"
12123,"258,420,31"
24293,"10,44,23"
22328,"28,30,33"
12220,"23,39,260"
19353,"21,40,33"
27064,"40,31,76"
29417,"4,174,433"
6726,"21,56,18"
15666,"169,199,169"
5912,"40,76,76"
14929,"28,30,3"
11977,"169,276,226"
22791,"17,200,1"
12334,"10,44,64"
24190,"10,44,23"
27317,"0,271,270"
28458,"63,38,74"
16241,"23,10,45"
25761,"152,201,40"
25253,"21,34,33"
30,"47,38,23"
27936,"21,33,200"
23871,"26,89,350"
23534,"8,410,418"
21634,"510,169,43"
23018,"169,40,399"
21423,"23,40,46"
6761,"40,76,149"
18924,"6,5,4"
18865,"107,74,23"
25483,"51,52,21"
10752,"200,51,1"
19474,"31,96,134"
2473,"40,129,76"
11748,"10,11,44"
552,"3,4,19"
11389,"135,318,36"
26991,"26,89,350"
22164,"0,223,291"
15183,"10,44,23"
16283,"131,76,40"
25150,"43,44,24"
17452,"4,70,5"
1810,"31,258,420"
4253,"10,44,23"
10200,"23,10,40"
10671,"169,311,440"
12128,"139,248,251"
9539,"269,400,223"
26444,"23,38,1"
27667,"169,169,170"
17801,"10,11,44"
28819,"30,28,10"
1603,"169,56,69"
8063,"499,306,511"
26613,"226,131,288"
8171,"3,15,200"
5343,"16,200,15"
1440,"23,40,10"
8915,"169,199,40"
1735,"15,16,200"
8897,"17,18,156"
9295,"76,215,13"
29161,"7,4,28"
6497,"25,23,10"
25217,"26,89,23"
3875,"270,271,271"
25566,"7,4,28"
18510,"74,135,251"
14659,"169,23,181"
29175,"270,0,2"
9445,"3,21,30"
1534,"76,201,111"
18880,"169,296,281"
27004,"28,3,0"
4750,"135,31,283"
10459,"33,21,52"
22864,"169,300,31"
7560,"23,38,39"
839,"64,79,299"
1005,"128,76,131"
11618,"184,201,131"
17098,"34,200,187"
20521,"131,226,76"
11550,"10,44,23"
23484,"26,289,219"
29396,"201,76,135"
23745,"201,40,135"
7755,"23,24,38"
14046,"26,23,89"
16589,"135,40,1"
6860,"23,28,40"
13682,"43,44,24"
5315,"26,44,23"
28743,"39,198,76"
1522,"23,38,39"
1472,"10,44,90"
25857,"30,28,3"
3638,"41,40,201"
18342,"38,74,23"
3166,"26,89,23"
21006,"39,281,70"
16543,"40,201,164"
3901,"200,170,15"
2034,"76,39,40"
24559,"26,89,1"
12896,"493,405,240"
12642,"81,38,1"
4783,"21,33,200"
12212,"10,24,44"
18637,"79,54,23"
2006,"218,244,40"
10852,"135,251,283"
15584,"10,23,44"
17691,"169,170,196"
10342,"13,20,28"
363,"21,51,250"
17109,"28,41,50"
27620,"169,76,40"
26000,"23,54,10"
8634,"135,76,38"
27779,"226,131,131"
12980,"231,350,299"
14526,"10,64,43"
12174,"0,271,274"
4061,"31,32,0"
9414,"135,31,40"
13044,"7,4,203"
28565,"34,18,187"
4298,"128,76,40"
27146,"141,118,40"
2864,"220,10,11"
6055,"100,3,22"
2638,"63,49,38"
22941,"350,88,232"
2295,"226,131,40"
23844,"15,200,3"
19330,"38,1,13"
16317,"233,220,10"
25132,"11,10,233"
7565,"130,395,395"
10230,"15,16,13"
26367,"4,70,19"
20335,"21,200,169"
3843,"28,4,3"
14642,"89,38,135"
11065,"0,271,280"
27705,"10,43,44"
18138,"400,295,394"
9385,"201,287,286"
11131,"201,184,131"
8479,"5,3,28"
3672,"74,23,60"
19283,"3,111,85"
19293,"220,10,11"
7323,"23,38,35"
24912,"2,1,179"
9992,"21,3,28"
4938,"43,23,10"
11425,"131,76,185"
18908,"265,269,471"
4373,"23,24,31"
17588,"10,54,23"
16485,"21,28,15"
24199,"220,10,4"
11549,"23,38,251"
3141,"4,5,70"
20774,"30,28,18"
8069,"23,39,38"
18568,"23,40,39"
19549,"25,23,10"
1150,"169,9,279"
12348,"76,487,139"
10067,"169,196,289"
